word,length,uniqueCharacters
African,7,7
American,8,8
April,5,5
Arab,4,4
Archaic,7,6
Asian,5,5
August,6,5
Bible,5,5
British,7,6
Canadian,8,5
Capricorn,9,8
Catholic,8,8
Celsius,7,6
Chinese,7,6
Christian,9,8
Christmas,9,8
Congress,8,7
Dane,4,4
December,8,6
Democrat,8,8
Dutch,5,5
Easter,6,6
Egyptian,8,8
England,7,6
English,7,7
Europe,6,6
European,8,8
Fahrenheit,10,8
February,8,7
Finnish,7,5
French,6,6
Friday,6,6
Gemini,6,5
German,6,6
God,3,3
Greece,6,4
Greek,5,4
I,1,1
Indian,6,5
Internet,8,5
Iraqi,5,5
Irish,5,5
Islamic,7,7
Israeli,7,7
It,2,2
Italian,7,6
Italy,5,5
January,7,6
Japanese,8,6
Jesus,5,4
Jew,3,3
Jewish,6,6
Jews,4,4
July,4,4
June,4,4
Latin,5,5
March,5,5
May,3,3
Mexican,7,7
Monday,6,6
Muslim,6,6
November,8,7
October,7,7
Olympic,7,7
Olympics,8,8
Palestinian,11,8
Portuguese,10,8
Protestant,10,8
Republican,10,10
Russian,7,6
Saturday,8,7
Senate,6,5
September,9,7
Soviet,6,6
Spaniard,8,7
Spanish,7,7
Sunday,6,6
Swede,5,4
Swiss,5,4
TV,2,2
Thursday,8,8
Trinity,7,6
Tuesday,7,7
United,6,6
Wednesday,9,7
a,1,1
aback,5,4
abandon,7,5
abash,5,4
abate,5,4
abattoir,8,6
abberance,9,6
abberant,8,6
abbey,5,4
abbot,5,4
abbreviate,10,7
abdicate,8,7
abdomen,7,7
abduct,6,6
abduction,9,9
abed,4,4
abet,4,4
abhor,5,5
abhorrence,10,8
abhorrent,9,8
abide,5,5
ability,7,6
abject,6,6
abjection,9,9
abjure,6,6
ablative,8,7
ablaze,6,5
able,4,4
ably,4,4
abnegate,8,6
abnegation,10,8
abnormal,8,7
abnormality,11,10
aboard,6,5
abode,5,5
abolish,7,7
abolishment,11,11
aboninable,10,7
abonnement,10,7
aboriginal,10,8
aborigines,10,9
abort,5,5
abortion,8,7
abortive,8,8
abound,6,6
about,5,5
above,5,5
aboveboard,10,7
abrasive,8,7
abreast,7,6
abridge,7,7
abroad,6,5
abrupt,6,6
abruptness,10,9
absence,7,6
absent,6,6
absently,8,8
absolute,8,8
absolutely,10,9
absolution,10,9
absolve,7,7
absorb,6,5
absorbing,9,8
abstain,7,6
abstinence,10,8
abstract,8,6
absurd,6,6
abundance,9,7
abundant,8,6
abuse,5,5
abusive,7,7
abyss,5,4
academic,8,6
academy,7,6
accede,6,4
accelerate,10,6
acceleration,12,9
accent,6,5
accept,6,5
acceptable,10,7
acceptance,10,6
access,6,4
accessible,10,7
accessory,9,7
accident,8,7
accidental,10,8
accidentally,12,9
acclaim,7,5
accolade,8,6
accommodate,11,7
accommodating,13,9
accommodation,13,8
accompaniment,13,9
accompany,9,7
accomplice,10,8
accomplish,10,9
accomplishment,14,12
accord,6,5
accordance,10,7
according,9,8
account,7,6
accountant,10,6
accounting,10,8
accredited,10,7
accrue,6,5
accumulate,10,7
accuracy,8,5
accurate,8,6
accusation,10,8
accuse,6,5
accuser,7,6
accustom,8,7
accustomed,10,9
ace,3,3
acerbity,8,8
ache,4,4
acheless,8,6
achieve,7,6
achievement,11,9
aching,6,6
achy,4,4
acid,4,4
acknowledge,11,10
acne,4,4
acorn,5,5
acquaint,8,7
acquaintance,12,8
acquainted,10,9
acquire,7,7
acquisition,11,9
acquit,6,6
acre,4,4
acrid,5,5
across,6,5
act,3,3
action,6,6
activate,8,6
active,6,6
activist,8,6
activity,8,6
actor,5,5
actress,7,6
actual,6,5
actually,8,6
acute,5,5
ad,2,2
adamant,7,5
adapt,5,4
adaptation,10,7
add,3,2
addict,6,5
addicted,8,6
addiction,9,7
adding,6,5
addition,8,6
additional,10,7
address,7,5
addressee,9,5
adept,5,5
adequate,8,6
adhere,6,5
adherence,9,7
adjacent,8,7
adjective,9,8
adjoin,6,6
adjourn,7,7
adjust,6,6
adjusted,8,7
adjustment,10,9
administer,10,9
administration,14,9
administrator,13,9
admirable,9,8
admiral,7,6
admiration,10,8
admire,6,6
admired,7,6
admirer,7,6
admissible,10,8
admission,9,7
admit,5,5
admonish,8,8
admonishment,12,10
ado,3,3
adolescent,10,9
adopt,5,5
adoption,8,7
adorable,8,7
adore,5,5
adorn,5,5
adornment,9,8
adrenaline,10,7
adroit,6,6
ads,3,3
adulate,7,6
adulatory,9,8
adult,5,5
adultery,8,8
adulthood,9,7
advance,7,6
advanced,8,6
advancement,11,8
advantage,9,7
adventure,9,8
adventurous,11,10
adverb,6,6
adversary,9,7
adverse,7,6
adversity,9,9
advertise,9,8
advertisement,13,10
advertising,11,10
advice,6,6
advise,6,6
advisedly,9,8
adviser,7,7
advisor,7,7
advocacy,8,6
advocate,8,7
aerial,6,5
aesthetic,9,7
affability,10,7
affable,7,5
affair,6,4
affect,6,5
affection,9,8
affinity,8,6
affirm,6,5
affirmative,11,8
affliction,10,8
affluence,9,7
affluent,8,7
afford,6,5
affront,7,6
afloat,6,5
afraid,6,5
after,5,5
afternoon,9,7
afterthought,12,9
afterward,9,7
again,5,4
against,7,6
age,3,3
agency,6,6
agenda,6,5
agent,5,5
aggravate,9,6
aggravation,11,8
aggregate,9,5
aggression,10,8
aggressive,10,7
aghast,6,5
agile,5,5
aging,5,4
agitate,7,5
ago,3,3
agony,5,5
agrarian,8,5
agree,5,4
agreeable,9,6
agreeing,8,6
agreement,9,7
agricultural,12,8
agriculture,11,9
ah,2,2
ahead,5,4
aid,3,3
aide,4,4
aids,4,4
ail,3,3
ailment,7,7
aim,3,3
aiming,6,5
aimless,7,6
air,3,3
aircraft,8,6
airless,7,6
airline,7,6
airplane,8,7
airport,7,6
airy,4,4
aisle,5,5
akin,4,4
alacrity,8,7
alarm,5,4
albeit,6,6
album,5,5
alcohol,7,5
alcoholic,9,6
alcove,6,6
ale,3,3
alert,5,5
alertness,9,7
alias,5,4
alibi,5,4
alien,5,5
alienate,8,6
alight,6,6
alignment,9,8
alike,5,5
alimony,7,7
alive,5,5
all,3,2
allay,5,3
allegation,10,8
allege,6,4
allegiance,10,7
allergic,8,7
allergy,7,6
alleviate,9,6
alley,5,4
alliance,8,6
allocate,8,6
allot,5,4
allow,5,4
allowance,9,7
alloy,5,4
allright,8,7
allude,6,5
allure,6,5
allusion,8,7
ally,4,3
almighty,8,8
almost,6,6
alone,5,5
along,5,5
alongside,9,9
aloof,5,4
aloud,5,5
alphabet,8,7
already,7,6
alright,7,7
also,4,4
altar,5,4
alter,5,5
alteration,10,8
alternate,9,6
alternative,11,8
although,8,7
altitude,8,7
altogether,10,8
aluminium,9,6
always,6,5
amass,5,3
amateur,7,6
amaze,5,4
amazing,7,6
amazingly,9,8
ambassador,10,7
amber,5,5
ambient,7,7
ambiguity,9,8
ambiguous,9,8
ambition,8,7
ambitious,9,8
ambulance,9,8
ambush,6,6
amen,4,4
amend,5,5
amendable,9,7
amendment,9,6
amenity,7,7
amiable,7,6
amid,4,4
ammunition,10,7
amnesia,7,6
amnesty,7,7
among,5,5
amongst,7,7
amoral,6,5
amorous,7,6
amorphous,9,8
amount,6,6
ample,5,5
amplify,7,7
amplitude,9,9
amulet,6,6
amuse,5,5
amusement,9,7
amusing,7,7
an,2,2
anaemia,7,5
analogy,7,6
analysis,8,6
analyst,7,6
analyze,7,6
anatomy,7,6
ancestor,8,8
anchor,6,6
anchovy,7,7
ancient,7,6
and,3,3
anew,4,4
angel,5,5
anger,5,5
angle,5,5
angrily,7,7
angry,5,5
anguish,7,7
angular,7,6
animal,6,5
animate,7,6
animosity,9,8
ankle,5,5
annex,5,4
annihilate,10,7
anniversary,11,8
annotation,10,5
announce,8,6
announcement,12,8
announcing,10,7
annoy,5,4
annoyance,9,6
annoying,8,6
annual,6,4
annulment,9,7
anoitment,9,7
anomalous,9,7
anonymous,9,7
another,7,7
answer,6,6
ant,3,3
antagonize,10,8
antarctic,9,6
ante,4,4
antecedent,10,6
antenna,7,4
anteroom,8,7
anthem,6,6
anti,4,4
antibiotic,10,7
anticipate,10,7
anticipated,11,8
anticipation,12,7
antidote,8,7
antipathy,9,7
antiquarian,11,7
antique,7,7
antisocial,10,8
antiterrorist,13,8
antler,6,6
anxiety,7,7
anxious,7,7
any,3,3
anybody,7,6
anyhow,6,6
anymore,7,7
anyone,6,5
anyplace,8,7
anything,8,7
anytime,7,7
anyway,6,4
anywhere,8,7
apart,5,4
apartment,9,7
apathetic,9,7
apathy,6,5
ape,3,3
apiece,6,5
aplenty,7,7
apocalypse,10,8
apologise,9,8
apologizing,11,8
apology,7,6
apostle,7,7
apostrophe,10,8
appal,5,3
appalling,9,6
apparatus,9,6
apparent,8,6
apparently,10,8
appeal,6,4
appealing,9,7
appear,6,4
appearance,10,6
appease,7,4
appellation,11,8
append,6,5
appendix,8,7
appetite,8,5
appetizing,10,8
applaud,7,5
applause,8,6
apple,5,4
appliance,9,7
applicant,9,7
application,11,8
apply,5,4
appoint,7,6
appointment,11,8
appraisal,9,6
appraise,8,6
appreciate,10,7
appreciation,12,9
apprehension,12,9
apprentice,10,8
approach,8,6
approaching,11,9
approbation,11,8
appropriate,11,7
approval,8,6
approve,7,6
approximately,13,11
apricot,7,7
apron,5,5
apt,3,3
aptitude,8,7
aptly,5,5
arable,6,5
arbitrary,9,6
arc,3,3
arcade,6,5
arch,4,4
archaic,7,5
archbishop,10,9
archer,6,5
archery,7,6
architect,9,7
archives,8,8
archly,6,6
arctic,6,5
ardent,6,6
ardently,8,8
arduous,7,6
are,3,3
area,4,3
arena,5,4
argon,5,5
argue,5,5
argument,8,8
arid,4,4
arise,5,5
aristocracy,11,8
ark,3,3
arm,3,3
armament,8,6
armature,8,6
armchair,8,6
armed,5,5
armistice,9,8
armless,7,6
armory,6,5
armour,6,5
armpit,6,6
army,4,4
aroma,5,4
around,6,6
arouse,6,6
arraignment,11,8
arrange,7,5
arrangement,11,7
array,5,3
arrears,7,4
arrest,6,5
arrival,7,5
arrive,6,5
arriving,8,6
arrogance,9,7
arrogant,8,6
arrow,5,4
arson,5,5
arsonist,8,7
art,3,3
artery,6,5
artful,6,6
article,7,7
articulate,10,8
artificial,10,7
artillery,9,7
artist,6,5
artistic,8,6
artless,7,6
artsy,5,5
as,2,2
ascend,6,6
ascension,9,7
ascertain,9,8
ash,3,3
ashame,6,5
ashes,5,4
ashore,6,6
ashtray,7,6
ashy,4,4
aside,5,5
ask,3,3
askew,5,5
asking,6,6
asleep,6,5
asparagus,9,6
aspect,6,6
aspen,5,5
asperity,8,8
aspirant,8,7
aspiration,10,8
aspirin,7,6
assail,6,4
assassin,8,4
assassination,13,6
assault,7,5
assembly,8,7
assent,6,5
assert,6,5
assertive,9,7
assess,6,3
assessment,10,6
asset,5,4
assign,6,5
assignment,10,8
assimilate,10,7
assist,6,4
assistance,10,7
assistant,9,5
associate,9,7
association,11,7
assort,6,5
assortment,10,8
assuage,7,5
assume,6,5
assumption,10,9
assumptive,10,9
assurance,9,7
assure,6,5
assuredness,11,7
asthma,6,5
astonishing,11,8
astound,7,7
astray,6,5
astronaut,9,7
asunder,7,7
asylum,6,6
at,2,2
ate,3,3
atheism,7,7
athlete,7,5
athletic,8,7
atmosphere,10,9
atomic,6,6
atonement,9,6
atrocious,9,8
atrocity,8,7
attach,6,4
attached,8,6
attachment,10,7
attack,6,4
attain,6,4
attempt,7,5
attend,6,5
attendance,10,6
attendant,9,5
attending,9,7
attention,9,6
attentive,9,6
attenuate,9,5
attest,6,4
attestation,11,7
attic,5,4
attire,6,5
attitude,8,6
attorney,8,7
attract,7,4
attraction,10,7
attractive,10,7
attribute,9,7
attrition,9,6
attune,6,5
aubergine,9,8
auction,7,7
audacious,9,7
audacity,8,7
audible,7,7
audibly,7,7
audience,8,7
audio,5,5
audition,8,7
auditioning,11,8
auditory,8,8
augment,7,7
aunt,4,4
auntie,6,6
aura,4,3
auspice,7,7
austerity,9,8
authentic,9,8
author,6,6
authorities,11,9
authority,9,8
authorization,13,9
authorized,10,10
auto,4,4
autograph,9,8
automatic,9,7
automatically,13,9
automobile,10,9
autopsy,7,7
autumn,6,5
auxiliary,9,7
avail,5,4
available,9,6
avalanche,9,7
avenge,6,5
avenue,6,5
average,7,5
aversion,8,8
avert,5,5
aviation,8,6
avid,4,4
avoid,5,5
avouch,6,6
avow,4,4
await,5,4
awaiting,8,6
awake,5,4
award,5,4
aware,5,4
awareness,9,6
away,4,3
awe,3,3
aweless,7,5
awesome,7,6
awful,5,5
awfully,7,6
awhile,6,6
awkward,7,5
axe,3,3
axis,4,4
babble,6,4
baby,4,3
babysitter,10,8
babysitting,11,8
bachelor,8,8
back,4,4
backache,8,6
backfire,8,8
background,10,10
backpack,8,5
backseat,8,7
backstage,9,8
backup,6,6
backwards,9,8
backyard,8,7
bacon,5,5
bacteria,8,7
bad,3,3
badge,5,5
badger,6,6
badly,5,5
bag,3,3
bagel,5,5
baggage,7,4
baggy,5,4
bagpipe,7,6
bail,4,4
bailed,6,6
bailey,6,6
bailiff,7,5
bait,4,4
bake,4,4
baker,5,5
bakery,6,6
baking,6,6
balance,7,6
balanced,8,7
balcony,7,7
bald,4,4
bale,4,4
balk,4,4
ball,4,3
ballet,6,5
ballistic,9,7
balloon,7,5
ballot,6,5
ballroom,8,6
balm,4,4
baloney,7,7
bamboo,6,4
ban,3,3
banal,5,4
banana,6,3
band,4,4
bandage,7,6
bane,4,4
bang,4,4
banging,7,5
banish,6,6
bank,4,4
banker,6,6
banking,7,6
bankrupt,8,8
banned,6,5
banner,6,5
banquet,7,7
banter,6,6
baptism,7,7
baptize,7,7
bar,3,3
barb,4,3
barbarian,9,5
barbecue,8,6
barber,6,4
bare,4,4
barefoot,8,7
barely,6,6
bargain,7,6
bargaining,10,6
barge,5,5
bark,4,4
barley,6,6
barn,4,4
barracks,8,6
barrel,6,5
barren,6,5
barricade,9,7
barrier,7,5
barrister,9,7
barter,6,5
base,4,4
baseball,8,5
baseless,8,5
basement,8,7
bash,4,4
bashful,7,7
basic,5,5
basically,9,7
basin,5,5
basis,5,4
bask,4,4
basket,6,6
basketball,10,7
bass,4,3
bastard,7,6
bat,3,3
batch,5,5
bate,4,4
bath,4,4
bathe,5,5
bathroom,8,7
bathtub,7,5
batter,6,5
battery,7,6
battle,6,5
bay,3,3
bayonet,7,7
bazaar,6,4
be,2,2
beach,5,5
beacon,6,6
bead,4,4
beak,4,4
beam,4,4
bean,4,4
bear,4,4
beard,5,5
bearer,6,4
bearing,7,7
beast,5,5
beastly,7,7
beat,4,4
beaten,6,5
beautiful,9,8
beautifully,11,9
beautify,8,8
beauty,6,6
beaver,6,5
became,6,5
because,7,6
beck,4,4
become,6,5
becoming,8,8
bed,3,3
bedding,7,6
bedevil,7,6
bedridden,9,6
bedroom,7,6
bedside,7,5
bedtime,7,6
bee,3,2
beech,5,4
beef,4,3
beefy,5,4
beehive,7,5
been,4,3
beep,4,3
beeper,6,4
beer,4,3
beetle,6,4
beetroot,8,5
before,6,5
beforehand,10,9
befriend,8,7
beg,3,3
beggarly,8,7
begging,7,5
begin,5,5
beginner,8,6
beginning,9,5
begrudge,8,6
behalf,6,6
behave,6,5
behavior,8,8
behaviour,9,9
behead,6,5
behind,6,6
behold,6,6
beige,5,4
being,5,5
belief,6,5
believable,10,6
believe,7,5
believer,8,6
bell,4,3
bellow,6,5
belly,5,4
belong,6,6
belonging,9,7
beloved,7,6
below,5,5
belt,4,4
bench,5,5
bend,4,4
bending,7,6
beneath,7,6
benediction,11,8
benefactor,10,9
beneficial,10,8
benefit,7,6
benevolence,11,7
benevolent,10,7
benign,6,5
benignity,9,7
bent,4,4
berch,5,5
bereave,7,5
berry,5,4
berth,5,5
beseech,7,5
beset,5,4
beside,6,5
besides,7,5
besiege,7,5
best,4,4
bestial,7,7
bestiality,10,8
bestow,6,6
bet,3,3
betray,6,6
betrayal,8,7
betraying,9,9
better,6,4
betting,7,6
between,7,5
beverage,8,6
beware,6,5
bewitch,7,7
beyond,6,6
biased,6,6
bicycle,7,6
bid,3,3
big,3,3
bigger,6,5
biggest,7,6
bigot,5,5
bike,4,4
bikini,6,4
bilateral,9,7
bile,4,4
bilingual,9,7
bill,4,3
billboard,9,7
billiards,9,7
billion,7,5
bin,3,3
bind,4,4
binding,7,5
biography,9,9
biological,10,7
biology,7,6
biopsy,6,6
birch,5,5
bird,4,4
birth,5,5
birthday,8,8
biscuit,7,6
bishop,6,6
bit,3,3
bite,4,4
bitten,6,5
bitter,6,5
bitterness,10,7
bitty,5,4
bizarre,7,6
black,5,5
blackboard,10,8
blackcurrant,12,9
blacked,7,7
blackmail,9,7
blackmailing,12,9
blackness,9,8
blackout,8,8
bladder,7,6
blade,5,5
blame,5,5
blameless,9,6
blank,5,5
blanket,7,7
blare,5,5
blaspheme,9,8
blast,5,5
blaze,5,5
bleach,6,6
bleak,5,5
bleat,5,5
bleed,5,4
bleeding,8,7
blemish,7,7
blend,5,5
blender,7,6
bless,5,4
blessing,8,7
blind,5,5
blindly,7,6
blindness,9,7
blink,5,5
bliss,5,4
blissful,8,6
blister,7,7
blizzard,8,7
bloat,5,5
block,5,5
blocking,8,8
bloke,5,5
blonde,6,6
blood,5,4
bloodless,9,6
bloody,6,5
bloom,5,4
blossom,7,5
blot,4,4
blotch,6,6
blouse,6,6
blow,4,4
blown,5,5
blubber,7,5
blue,4,4
blueberry,9,6
bluff,5,4
bluffy,6,5
bluish,6,6
blunder,7,7
blunt,5,5
blur,4,4
blush,5,5
blushing,8,8
bluster,7,7
boar,4,4
board,5,5
boast,5,5
boastful,8,8
boat,4,4
bob,3,2
bodily,6,6
body,4,4
bodyguard,9,8
bog,3,3
bogus,5,5
boil,4,4
boiler,6,6
boiling,7,6
boisterous,10,8
bold,4,4
bolt,4,4
bomb,4,3
bombing,7,6
bond,4,4
bone,4,4
bonfire,7,7
bonnet,6,5
bonus,5,5
boob,4,2
book,4,3
bookcase,8,7
bookie,6,5
booking,7,6
bookkeeper,10,6
bookstore,9,7
bookworm,8,6
boom,4,3
boost,5,4
boot,4,3
booth,5,4
boots,5,4
booty,5,4
booze,5,4
border,6,5
bore,4,4
bored,5,5
boredom,7,6
boring,6,6
born,4,4
borough,7,6
borrow,6,4
borrowing,9,7
boss,4,3
bossy,5,4
botany,6,6
both,4,4
bother,6,6
bottle,6,5
bottled,7,6
bottom,6,4
bough,5,5
boulevard,9,9
bounce,6,6
bouncing,8,7
bound,5,5
boundary,8,8
bounty,6,6
bouquet,7,6
bout,4,4
boutique,8,7
bow,3,3
bowel,5,5
bowl,4,4
bowling,7,7
box,3,3
boxer,5,5
boxing,6,6
boy,3,3
boycott,7,5
boyfriend,9,9
boyish,6,6
bra,3,3
brace,5,5
bracelet,8,7
bracket,7,7
brag,4,4
bragging,8,6
braid,5,5
brain,5,5
brainless,9,8
brainpower,10,9
brains,6,6
